Entity,Code,Year,Gas price
UK NBP,,1996,6.3663297
UK NBP,,1997,6.676621
UK NBP,,1998,6.362547
UK NBP,,1999,5.3874702
UK NBP,,2000,9.248843
UK NBP,,2001,10.831269
UK NBP,,2002,8.094857
UK NBP,,2003,11.36634
UK NBP,,2004,15.207219
UK NBP,,2005,24.253561
UK NBP,,2006,25.554327
UK NBP,,2007,20.416153
UK NBP,,2008,36.377598
UK NBP,,2009,16.34852
UK NBP,,2010,22.241924
UK NBP,,2011,30.71412
UK NBP,,2012,32.14525
UK NBP,,2013,36.156372
UK NBP,,2014,28.03155
UK NBP,,2015,22.259644
UK NBP,,2016,15.856124
UK NBP,,2017,19.713156
UK NBP,,2018,27.204098
UK NBP,,2019,15.227805
UK NBP,,2020,10.828521
UK NBP,,2021,52.71504
UK NBP,,2022,83.75966
UK NBP,,2023,41.965164